words	nodeTypes	synsetCount	units
cloud	NOUN	14	batmanforever
face	NOUN	22	batmanforever
hand	NOUN	16	batmanforever
elbow	NOUN	7	batmanforever
time	NOUN	15	batmanforever
man	NOUN	13	batmanforever
skin	NOUN	10	batmanforever
costume	NOUN	6	batmanforever
hand	NOUN	16	batmanforever
eye	NOUN	6	batmanforever
sycophant	NOUN	1	batmanforever
flesh	NOUN	4	batmanforever
name	NOUN	15	batmanforever
hire	NOUN	5	batmanforever
slip	NOUN	26	batmanforever
hand	NOUN	16	batmanforever
hand	NOUN	16	batmanforever
idol	NOUN	3	batmanforever
people	NOUN	6	batmanforever
mind	NOUN	13	batmanforever
mind	NOUN	13	batmanforever
brainwave	NOUN	2	batmanforever
future	NOUN	7	batmanforever
brainwave	NOUN	2	batmanforever
effect	NOUN	8	batmanforever
folk	NOUN	4	batmanforever
mouth	NOUN	11	batmanforever
project	NOUN	14	batmanforever
morning	NOUN	4	batmanforever
man	NOUN	13	batmanforever
tool	NOUN	8	batmanforever
face	NOUN	22	batmanforever
twitch	NOUN	6	batmanforever
crack	NOUN	24	batmanforever
facade	NOUN	2	batmanforever
tool	NOUN	8	batmanforever
mind	NOUN	13	batmanforever
gesture	NOUN	4	batmanforever
cubicle	NOUN	3	batmanforever
rat	NOUN	11	batmanforever
nest	NOUN	9	batmanforever
component	NOUN	3	batmanforever
invention	NOUN	3	batmanforever
tv	NOUN	2	batmanforever
picture	NOUN	12	batmanforever
invention	NOUN	3	batmanforever
viewer	NOUN	2	batmanforever
brain	NOUN	7	batmanforever
audience	NOUN	4	batmanforever
show	NOUN	16	batmanforever
entertainment	NOUN	1	batmanforever
problem	NOUN	3	batmanforever
couple	NOUN	9	batmanforever
problem	NOUN	3	batmanforever
folk	NOUN	4	batmanforever
ripple	NOUN	4	batmanforever
anxiety	NOUN	2	batmanforever
recovery	NOUN	3	batmanforever
world	NOUN	9	batmanforever
realm	NOUN	3	batmanforever
king	NOUN	10	batmanforever
life	NOUN	14	batmanforever
stock	NOUN	27	batmanforever
coupon	NOUN	2	batmanforever
back	NOUN	28	batmanforever
buck	NOUN	9	batmanforever
glass	NOUN	12	batmanforever
eye	NOUN	6	batmanforever
disbelief	NOUN	2	batmanforever
lense	NOUN	1	batmanforever
entertainment	NOUN	1	batmanforever
revolution	NOUN	3	batmanforever
glass	NOUN	12	batmanforever
manner	NOUN	3	batmanforever
bit	NOUN	15	batmanforever
funding	NOUN	8	batmanforever
trial	NOUN	6	batmanforever
beam	NOUN	13	batmanforever
night	NOUN	8	batmanforever
cloud	NOUN	14	batmanforever
time	NOUN	15	batmanforever
time	NOUN	15	batmanforever
partner	NOUN	5	batmanforever
night	NOUN	8	batmanforever
business	NOUN	9	batmanforever
travel	NOUN	9	batmanforever
recognition	NOUN	8	batmanforever
time	NOUN	15	batmanforever
beat	NOUN	34	batmanforever
kind	NOUN	4	batmanforever
dozen	NOUN	2	batmanforever
co	NOUN	4	batmanforever
-	NOUN	0	batmanforever
worker	NOUN	4	batmanforever
snickering	NOUN	1	batmanforever
eye	NOUN	6	batmanforever
dart	NOUN	6	batmanforever
secretary	NOUN	4	batmanforever
factory	NOUN	1	batmanforever
folk	NOUN	4	batmanforever
work	NOUN	34	batmanforever
rage	NOUN	8	batmanforever
no	NOUN	6	batmanforever
.	NOUN	0	batmanforever
invention	NOUN	3	batmanforever
arm	NOUN	8	batmanforever
room	NOUN	5	batmanforever
eye	NOUN	6	batmanforever
bit	NOUN	15	batmanforever
mind	NOUN	13	batmanforever
manipulation	NOUN	2	batmanforever
question	NOUN	11	batmanforever
mark	NOUN	30	batmanforever
work	NOUN	34	batmanforever
man	NOUN	13	batmanforever
work	NOUN	34	batmanforever
place	NOUN	32	batmanforever
eye	NOUN	6	batmanforever
obsession	NOUN	2	batmanforever
office	NOUN	7	batmanforever
lock	NOUN	15	batmanforever
leather	NOUN	2	batmanforever
chair	NOUN	7	batmanforever
chair	NOUN	7	batmanforever
seat	NOUN	16	batmanforever
transport	NOUN	11	batmanforever
capsule	NOUN	9	batmanforever
capsule	NOUN	9	batmanforever
tunnel	NOUN	4	batmanforever
light	NOUN	47	batmanforever
whipping	NOUN	11	batmanforever
speed	NOUN	10	batmanforever
speed	NOUN	10	batmanforever
time	NOUN	15	batmanforever
readout	NOUN	3	batmanforever
windscreen	NOUN	1	batmanforever
face	NOUN	22	batmanforever
signal	NOUN	6	batmanforever
capsule	NOUN	9	batmanforever
glove	NOUN	3	batmanforever
boot	NOUN	9	batmanforever
cape	NOUN	2	batmanforever
foot	NOUN	14	batmanforever
sandwich	NOUN	3	batmanforever
drive	NOUN	34	batmanforever
thru	NOUN	0	batmanforever
car	NOUN	5	batmanforever
car	NOUN	5	batmanforever
light	NOUN	47	batmanforever
belly	NOUN	6	batmanforever
glow	NOUN	12	batmanforever
cave	NOUN	3	batmanforever
car	NOUN	5	batmanforever
shoots	NOUN	22	batmanforever
series	NOUN	7	batmanforever
arch	NOUN	8	batmanforever
car	NOUN	5	batmanforever
speed	NOUN	10	batmanforever
fusion	NOUN	7	batmanforever
drive	NOUN	34	batmanforever
purple	NOUN	7	batmanforever
bat	NOUN	10	batmanforever
wing	NOUN	12	batmanforever
split	NOUN	18	batmanforever
car	NOUN	5	batmanforever
bullet	NOUN	3	batmanforever
car	NOUN	5	batmanforever
whip	NOUN	11	batmanforever
holograph	NOUN	2	batmanforever
tree	NOUN	7	batmanforever
entrance	NOUN	5	batmanforever
car	NOUN	5	batmanforever
angle	NOUN	8	batmanforever
darkness	NOUN	6	batmanforever
floor	NOUN	12	batmanforever
thug	NOUN	1	batmanforever
peer	NOUN	3	batmanforever
skyscraper	NOUN	1	batmanforever
window	NOUN	8	batmanforever
abyss	NOUN	1	batmanforever
skyscraper	NOUN	1	batmanforever
construction	NOUN	7	batmanforever
girder	NOUN	1	batmanforever
scaffolding	NOUN	2	batmanforever
silver	NOUN	12	batmanforever
dollar	NOUN	4	batmanforever
frame	NOUN	17	batmanforever
thug	NOUN	1	batmanforever
minute	NOUN	8	batmanforever
hand	NOUN	16	batmanforever
coin	NOUN	3	batmanforever
profile	NOUN	7	batmanforever
face	NOUN	22	batmanforever
side	NOUN	14	batmanforever
face	NOUN	22	batmanforever
shadow	NOUN	12	batmanforever
face	NOUN	22	batmanforever
sport	NOUN	9	batmanforever
thought	NOUN	17	batmanforever
counting	NOUN	10	batmanforever
guard	NOUN	14	batmanforever
floor	NOUN	12	batmanforever
wrist	NOUN	1	batmanforever
foot	NOUN	14	batmanforever
fear	NOUN	8	batmanforever
face	NOUN	22	batmanforever
face	NOUN	22	batmanforever
mind	NOUN	13	batmanforever
subject	NOUN	15	batmanforever
family	NOUN	8	batmanforever
face	NOUN	22	batmanforever
ace	NOUN	11	batmanforever
dollar	NOUN	4	batmanforever
nose	NOUN	14	batmanforever
side	NOUN	14	batmanforever
mint	NOUN	8	batmanforever
condition	NOUN	13	batmanforever
face	NOUN	22	batmanforever
toss	NOUN	9	batmanforever
coin	NOUN	3	batmanforever
life	NOUN	14	batmanforever
side	NOUN	14	batmanforever
bear	NOUN	15	batmanforever
burn	NOUN	20	batmanforever
face	NOUN	22	batmanforever
death	NOUN	8	batmanforever
face	NOUN	22	batmanforever
coin	NOUN	3	batmanforever
_	NOUN	0	batmanforever
face	NOUN	22	batmanforever
flip	NOUN	18	batmanforever
coin	NOUN	3	batmanforever
spin	NOUN	13	batmanforever
land	NOUN	18	batmanforever
floor	NOUN	12	batmanforever
inch	NOUN	3	batmanforever
face	NOUN	22	batmanforever
face	NOUN	22	batmanforever
coin	NOUN	3	batmanforever
